Star Name,Spectral Type,Stellar Radius [Solar Radius],Element Composition,Discovery Year,Host Name
11 Com,G8 III,13.76,Hydrogen,2007,11 Com
11 UMi,K4 III,29.79,Xenon,2009,11 UMi
14 And,K0 III,11.55,Hydrogen,2008,14 And
14 Her,K0 V,0.93,Hydrogen,2002,14 Her
16 Cyg,G3 V,1.13,Hydrogen,1996,16 Cyg B
17 Sco,K3 III,25.92,Hydrogen,2020,17 Sco
18 Del,G6 III,8.8,Hydrogen,2008,18 Del
1RXS J160929.1-210524,K7 V,1.31,Hydrogen,2008,1RXS J160929.1-210524
24 Boo,G3 IV,12.19,Hydrogen,2018,24 Boo
24 Sex,K0 IV,4.9,Hydrogen,2010,24 Sex
2MASS J04372171+2651014,M V,0.84,Hydrogen,2021,2MASS J04372171+2651014
2MASS J01033563-5515561,M5.5/M6,,Hydrogen,2013,2MASS J01033563-5515561 A
2MASS J01225093-2439505,M3.5 V,0.37,Hydrogen,2013,2MASS J01225093-2439505
2MASS J02192210-3925225,M6,0.28,Hydrogen,2015,2MASS J02192210-3925225
2MASS J0249-0557,M6 V,0.32,Hydrogen,2018,2MASS J0249-0557 A
2MASS J03590986+2009361,,0.29,Hydrogen,2024,2MASS J03590986+2009361
2MASS J04414489+2301513,M8.5,0.23,Hydrogen,2010,2MASS J04414489+2301513
2MASS J11011926-7732383,,,Hydrogen,2024,2MASS J11011926-7732383
2MASS J11550485-7919108,,0.6,Hydrogen,2024,2MASS J11550485-7919108
2MASS J12073346-3932539,M8,0.22,Hydrogen,2004,2MASS J12073346-3932539
2MASS J19383260+4603591,,0.2,Hydrogen,2015,2MASS J19383260+4603591
2MASS J21252752-8138278,,0.67,Hydrogen,2024,2MASS J21252752-8138278
2MASS J22362452+4751425,K7 V,0.64,Hydrogen,2016,2MASS J22362452+4751425
30 Ari,F6 V,1.41,Hydrogen,2009,30 Ari B
4 UMa,K1 III,18.11,Hydrogen,2006,4 UMa
42 Dra,K1.5 III,22.03,Hydrogen,2008,42 Dra
47 UMa,G0 V,1.21,Hydrogen,1996,47 UMa
51 Eri,F0 IV,1.49,Hydrogen,2015,51 Eri
51 Peg,G5V,1.18,Hydrogen,1995,51 Peg
55 Cnc,K0 IV-V,0.94,Hydrogen,1996,55 Cnc
6 Lyn,K0 IV,4.94,Hydrogen,2008,6 Lyn
61 Vir,G5 V,0.96,Hydrogen,2009,61 Vir
7 CMa,K1 III,4.87,Hydrogen,2011,7 CMa
70 Vir,G5V,1.89,Hydrogen,1996,70 Vir
75 Cet,G3 III,10.38,Hydrogen,2012,75 Cet
8 UMi,K0,10.3,Hydrogen,2015,8 UMi
81 Cet,G5 III,11.21,Hydrogen,2008,81 Cet
91 Aqr,K0 III,11,Hydrogen,2013,91 Aqr
AB Aur,,2.96,Hydrogen,2022,AB Aur
AB Pic,K2 V,1,Hydrogen,2005,AB Pic
AF Lep,F8 V,1.25,Hydrogen,2023,AF Lep
AU Mic,M1,0.74,Hydrogen,2020,AU Mic
BD+03 2562,,32.35,Hydrogen,2017,BD+03 2562
BD+14 4559,K2 V,0.86,Hydrogen,2009,BD+14 4559
BD+15 2375,G5,8.95,Hydrogen,2016,BD+15 2375
BD+15 2940,K0,14.7,Hydrogen,2013,BD+15 2940
BD+20 2457,K2 II,49,Hydrogen,2009,BD+20 2457
BD+20 274,K5 III,17.3,Hydrogen,2012,BD+20 274
BD+20 594,G,1.08,Hydrogen,2016,BD+20 594
BD+45 564,K1,0.81,Hydrogen,2021,BD+45 564
BD+48 738,K0 III,11,Hydrogen,2011,BD+48 738
BD+48 740,K3 III,10.33,Hydrogen,2018,BD+48 740
BD+49 828,K0,7.6,Hydrogen,2015,BD+49 828
BD+55 362,K3,0.9,Hydrogen,2021,BD+55 362
BD+60 1417,K0,0.8,Hydrogen,2021,BD+60 1417
BD+63 1405,K0,0.8,Hydrogen,2021,BD+63 1405
BD-06 1339,K7/M0 V,0.69,Hydrogen,2013,BD-06 1339
BD-08 2823,K3 V,0.71,Hydrogen,2009,BD-08 2823
BD-10 3166,K0 V,0.91,Hydrogen,2000,BD-10 3166
BD-11 4672,K7 V,0.64,Hydrogen,2014,BD-11 4672
BD-13 2130,G5 IV/V,19.17,Hydrogen,2007,BD-13 2130
BD-14 3065,,2.35,Hydrogen,2024,BD-14 3065 A
BD-17 63,K5 V,0.74,Hydrogen,2008,BD-17 63
BD-210397,K7 V,0.75,Hydrogen,2023,BD-210397
Barnard's star,M3.5-4 V,0.18,Hydrogen,2024,Barnard's star
CD Cet,M5.0 V,0.17,Hydrogen,2020,CD Cet
CFBDSIR J145829+101343,,,Hydrogen,2011,CFBDSIR J145829+101343
CFHTWIR-Oph 98,M9-L1,0.24,Hydrogen,2021,CFHTWIR-Oph 98 A
CHXR 73,M3.5,,Hydrogen,2006,CHXR 73
CI Tau,K7,1.88,Hydrogen,2024,CI Tau
COCONUTS-2,M3 V,0.39,Hydrogen,2021,COCONUTS-2 A
CT Cha,K5e,1.68,Hydrogen,2007,CT Cha
CoRoT-1,G0 V,1.11,Hydrogen,2008,CoRoT-1
CoRoT-10,K1 V,0.79,Hydrogen,2010,CoRoT-10
CoRoT-11,F6 V,1.37,Hydrogen,2010,CoRoT-11
CoRoT-12,,1.05,Hydrogen,2010,CoRoT-12
CoRoT-13,G0 V,1.01,Hydrogen,2010,CoRoT-13
CoRoT-14,F9 V,1.21,Hydrogen,2010,CoRoT-14
CoRoT-16,G5 V,1.19,Hydrogen,2011,CoRoT-16
CoRoT-17,G2 V,1.59,Hydrogen,2011,CoRoT-17
CoRoT-18,G9 V,0.88,Hydrogen,2011,CoRoT-18
CoRoT-19,F9 V,1.65,Hydrogen,2011,CoRoT-19
CoRoT-2,,0.91,Hydrogen,2008,CoRoT-2
CoRoT-20,G2 V,1.37,Hydrogen,2011,CoRoT-20
CoRoT-21,F8 IV,1.95,Hydrogen,2012,CoRoT-21
CoRoT-22,G3 V,1.14,Hydrogen,2014,CoRoT-22
